location,latitude,longitude
Bronx,40.85884624,-73.86566153
Brooklyn,40.65249756,-73.94490761
Manhattan,40.77665814,-73.97198584
Queens,40.72543355,-73.79626966
Staten Island,40.58721489,-74.14135834
