ID,Latitude,Longitude,poi,lat,long,distance
1219495,40.80481,-73.94794,Statue of Liberty,40.6891078,-74.0440954,
1234959,40.80473,-73.9532,Statue of Liberty,40.6891078,-74.0440954,
1238825,40.72831,-74.00177,Statue of Liberty,40.6891078,-74.0440954,
1241034,40.89747,-73.8639,Statue of Liberty,40.6891078,-74.0440954,
1244348,40.81156,-73.94571,Statue of Liberty,40.6891078,-74.0440954,
1245453,40.7385,-73.91806,Statue of Liberty,40.6891078,-74.0440954,
1246005,40.72937,-73.95671,Statue of Liberty,40.6891078,-74.0440954,
1249319,40.71534,-73.95914,Statue of Liberty,40.6891078,-74.0440954,
1249871,40.68288,-73.96024,Statue of Liberty,40.6891078,-74.0440954,
1253737,40.72972,-73.97995,Statue of Liberty,40.6891078,-74.0440954,
1254842,40.71309,-73.94128,Statue of Liberty,40.6891078,-74.0440954,
1255394,40.83096,-73.94633,Statue of Liberty,40.6891078,-74.0440954,
1256499,40.67212,-73.9506,Statue of Liberty,40.6891078,-74.0440954,
1257051,40.71023,-73.96665,Statue of Liberty,40.6891078,-74.0440954,
1262574,40.84468,-73.94303,Statue of Liberty,40.6891078,-74.0440954,
1265888,40.72578,-73.97879,Statue of Liberty,40.6891078,-74.0440954,
1267545,40.78569,-73.97581,Statue of Liberty,40.6891078,-74.0440954,
1268649,40.68131,-73.95332,Statue of Liberty,40.6891078,-74.0440954,
1272515,40.71473,-73.98842,Statue of Liberty,40.6891078,-74.0440954,
1274725,40.73476,-73.98452,Statue of Liberty,40.6891078,-74.0440954,
1275277,40.69055,-73.92357,Statue of Liberty,40.6891078,-74.0440954,
1276381,40.67505,-73.95969,Statue of Liberty,40.6891078,-74.0440954,
1277486,40.70925,-73.95425,Statue of Liberty,40.6891078,-74.0440954,
1278038,40.72315,-73.95226,Statue of Liberty,40.6891078,-74.0440954,
1278591,40.73939,-73.99612,Statue of Liberty,40.6891078,-74.0440954,
1279143,40.74112,-73.97686,Statue of Liberty,40.6891078,-74.0440954,
1280248,40.72133,-73.99666,Statue of Liberty,40.6891078,-74.0440954,
1282457,40.79056,-73.9468,Statue of Liberty,40.6891078,-74.0440954,
1283009,40.73631,-73.99977,Statue of Liberty,40.6891078,-74.0440954,
1284114,40.71312,-73.96199,Statue of Liberty,40.6891078,-74.0440954,
1289084,40.74695,-74.00454,Statue of Liberty,40.6891078,-74.0440954,
1289637,40.67497,-73.87305,Statue of Liberty,40.6891078,-74.0440954,
1290189,40.66788,-73.94813,Statue of Liberty,40.6891078,-74.0440954,
1292950,40.72566,-73.97748,Statue of Liberty,40.6891078,-74.0440954,
1293503,40.7709,-73.99181,Statue of Liberty,40.6891078,-74.0440954,
1294055,40.71943,-73.95958,Statue of Liberty,40.6891078,-74.0440954,
1294607,40.74249,-73.92466,Statue of Liberty,40.6891078,-74.0440954,
1295160,40.74033,-74.00024,Statue of Liberty,40.6891078,-74.0440954,
1295712,40.7969,-73.96128,Statue of Liberty,40.6891078,-74.0440954,
1297369,40.65589,-73.95539,Statue of Liberty,40.6891078,-74.0440954,
1297921,40.70275,-73.94501,Statue of Liberty,40.6891078,-74.0440954,
1298473,40.68897,-73.93569,Statue of Liberty,40.6891078,-74.0440954,
1299578,40.67595,-73.98053,Statue of Liberty,40.6891078,-74.0440954,
1300130,40.76415,-73.99067,Statue of Liberty,40.6891078,-74.0440954,
1301787,40.82922,-73.94174,Statue of Liberty,40.6891078,-74.0440954,
1302340,40.71137,-73.94362,Statue of Liberty,40.6891078,-74.0440954,
1304549,40.68812,-73.94934,Statue of Liberty,40.6891078,-74.0440954,
1308415,40.68364,-73.91076,Statue of Liberty,40.6891078,-74.0440954,
1309519,40.82802,-73.92039,Statue of Liberty,40.6891078,-74.0440954,
1310072,40.68765,-73.97073,Statue of Liberty,40.6891078,-74.0440954,
1310624,40.71413,-73.96596,Statue of Liberty,40.6891078,-74.0440954,
1311176,40.58422,-73.94079,Statue of Liberty,40.6891078,-74.0440954,
1311729,40.71973,-73.95582,Statue of Liberty,40.6891078,-74.0440954,
1312281,40.69025,-73.93323,Statue of Liberty,40.6891078,-74.0440954,
1312833,40.73826,-73.92458,Statue of Liberty,40.6891078,-74.0440954,
1313386,40.73049,-73.96115,Statue of Liberty,40.6891078,-74.0440954,
1314490,40.73854,-74.00821,Statue of Liberty,40.6891078,-74.0440954,
1315042,40.75877,-73.98863,Statue of Liberty,40.6891078,-74.0440954,
1315595,40.67688,-73.9859,Statue of Liberty,40.6891078,-74.0440954,
1316147,40.70051,-73.92204,Statue of Liberty,40.6891078,-74.0440954,
1316699,40.71712,-73.98898,Statue of Liberty,40.6891078,-74.0440954,
1318356,40.75627,-73.9211,Statue of Liberty,40.6891078,-74.0440954,
