Name,latitude,longitude
Statue of Liberty,40.6891078,-74.0440954
Central Park,40.78104475,-73.96625987
Brooklyn Bridge,40.70632546,-73.9969871
Empire State Building,40.74888233,-73.98519347
Times Square,40.75819487,-73.98562368
Muesem of New York,40.79318132,-73.95225271
